tabla_origen,datos_raw,motivo_rechazo,fecha_deteccion
Clientes,ClienteID=3 Cliente_Data='López D. Carlos - DNI_INVALIDO_999',Formato Cliente_Data no reconocido: López D. Carlos - DNI_INVALIDO_999,2026-08-11
Clientes,"ClienteID=4 Cliente_Data='Fernández, Ana'","DNI ausente: Fernández, Ana",2026-08-11
Clientes,ClienteID=7 Cliente_Data='UNKNOWN_USER',Formato Cliente_Data no reconocido: UNKNOWN_USER,2026-08-11
Ventas,VentaID=3 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=7 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=11 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=15 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=19 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=23 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=27 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=31 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=35 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=39 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=43 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=47 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=51 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=55 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=59 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=63 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=67 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=71 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=75 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=79 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=83 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=87 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=91 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=95 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=99 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=103 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=107 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=111 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=115 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=119 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=123 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=127 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=131 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=135 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=139 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=143 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=147 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=151 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=155 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=159 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=163 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=167 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=171 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=175 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=179 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=183 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=187 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=191 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=195 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=199 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=203 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=207 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=211 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=215 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=219 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=223 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=227 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=231 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=235 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=239 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=243 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=247 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=251 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=255 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=259 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=263 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
Ventas,VentaID=267 Fecha='INVALID_DATE',Fecha inválida: INVALID_DATE,2026-08-11
